tweetID,followers,listed,followings,verified,Total_favourite_count,tweet_favorite_count
882905458985644032,25,0,44,0,1,0
882905458230648832,648,12,245,0,20141,0
882905457135845377,71,2,30,0,33,0
882905455307173889,4,0,64,0,55,0
882905450550898688,3942,61,4362,1,420,0
882905448604508160,90,18,129,0,1954,0
882905441864302593,675,201,724,0,27112,0
882905439645466626,427,77,740,0,939,0
882905438307717121,12413,69,42,0,30252,0
882905437699416064,2461,19,872,0,1135,0
882905429600161793,8981,31,1716,0,548,0
882905429528817665,303,2,378,0,17269,0
882905428526374912,483,107,255,0,16874,0
882905426026573825,17007,492,3014,0,20179,0
882905417541603328,1637,86,1224,0,113554,0
882905413791825920,232,8,395,0,73,0
882905396972855297,154,1,369,0,0,0
882905396343484416,3942,61,4362,1,420,0
882905393227329541,110,109,79,0,2,0
882905392820490240,154,1,369,0,0,0
882905391432159233,316,4,2337,0,16507,0
882905390446292992,126,7,51,0,88,0
882905388479377409,56,14,1729,0,843,0
882905388214919168,311,20,647,0,51082,0
882905385648181248,360,31,341,0,31472,0
882905380703027200,1355,10,1253,0,521,0
882905379692326912,834,425,366,0,544,0
882905376856752128,387,34,1044,0,352,0
882905373367123972,342,15,247,0,2240,0
882905372696219649,131,6,178,0,6951,0
882905366878502913,2151,35,86,0,2342,0
882905360696131584,314,3,441,0,20167,0
882905354220093440,20,2,75,0,963,0
882905350751617024,0,0,60,0,0,0
882905339812868096,1,0,8,0,26,0
882905337099104257,384,31,985,0,19534,0
882905335060725761,316,4,2337,0,16507,0
882905335031320578,1741,46,763,0,11098,0
882905331432640512,799,10,140,0,696,0
882905329008128002,116,8,763,0,3588,0
882905328991567872,74,1,144,0,5417,0
882905320900538368,499,23,687,0,12140,0
882905320174911488,2687,69,2856,0,12343,0
